Najlepsze,Srednie,Najgorsze
-4419982.1480346015,-4817891.342524218,-5267800.8850069875
-4144482.7868492063,-4665264.86136884,-5110827.84197723
-4144482.7868492063,-4559155.910879148,-5012560.758254364
-4144482.7868492063,-4453808.878581586,-4977894.794644239
-4131136.9907008177,-4359343.533038864,-4885533.176551819
-4077209.6408721763,-4143253.3153779614,-4205017.013185533
-4050004.6724827522,-4108817.846247149,-4159911.515264637
-3958224.0414209343,-4055957.4943301417,-4175493.235262897
-3958224.0414209343,-4007276.231337681,-4060120.963632985
-3957093.9578562886,-3992188.5803496884,-4074482.888581183
-3942180.341793018,-3972976.2517933594,-4049342.5266932216
-3893265.179618479,-3954806.6645211065,-3986630.62278794
-3892413.960526231,-3935957.931115828,-3980608.37686087
-3869019.455914409,-3907152.8484330713,-3997450.8120741337
-3857247.735783643,-3876187.9913908136,-3966726.853449548
-3849142.621693796,-3866895.6641496457,-3921977.9412718704
-3843533.722317031,-3858897.2375328024,-3949252.040282596
-3838115.8094655774,-3853043.6443261034,-3913236.752822722
-3827764.9357171687,-3843759.442248531,-3926643.90751396
-3820785.094694625,-3847129.9954341147,-3928297.2196614644
-3788303.0210904605,-3838790.330540648,-3968656.7629209557
-3780500.326433941,-3831807.266847421,-3894812.4942491977
-3780500.326433941,-3829164.52864265,-3907981.571526634
-3753130.566228988,-3809184.5200703484,-3885204.2170500616
-3730184.181126638,-3792845.186206881,-3863854.3140498423
-3713331.7160473377,-3774878.211277397,-3875008.9605697948
-3704859.6919099893,-3747948.763971293,-3866299.5309445765
-3694283.348265381,-3727739.600607383,-3845939.9985163948
-3693433.887271426,-3727741.5795693668,-3815558.340021365
-3662954.811224159,-3713567.2614315175,-3803402.7853977666
-3655515.3092396497,-3701734.6639353563,-3779433.3075081776
-3648299.383470372,-3686868.8760050107,-3768746.1726709865
-3641627.9938453306,-3673760.606520751,-3745224.9228929966
-3602397.83183967,-3663182.1056891447,-3749422.2479407
-3602397.83183967,-3641899.4923435897,-3743545.504776741
-3588997.7424957277,-3621299.493310759,-3706255.3625333006
-3587932.5773879443,-3604445.502914045,-3662832.681398294
-3563736.38489254,-3607776.18955296,-3718069.1749419803
-3559763.9236124344,-3608004.981741816,-3724138.592701507
-3559763.9236124344,-3590744.7726005847,-3683122.6978633944
-3469447.075782463,-3565420.0149051156,-3629868.1956969863
-3469447.075782463,-3550491.6829116,-3612718.8230231907
-3463000.021408897,-3519834.056200226,-3708183.476390298
-3439814.7177879745,-3472322.908421579,-3581281.705301948
-3435916.9890881893,-3469776.2694425033,-3609733.911024954
-3425657.8950009304,-3480685.2053096946,-3549527.488604289
-3421635.3926729746,-3473693.665179432,-3546369.131616595
-3410656.087589688,-3447669.8113759365,-3544937.8589070453
-3410656.087589688,-3454746.8243128806,-3517703.3050435637
