Najlepsze,Srednie,Najgorsze
-4219657.962361268,-4837062.432859948,-5456693.1754558645
-4219657.962361268,-4716295.128555877,-5185325.941097323
-4219657.962361268,-4651246.124989085,-5350973.861974688
-4219657.962361268,-4632349.282647649,-5185325.941097323
-4219657.962361268,-4604793.18245654,-5185325.941097323
-4219657.962361268,-4480119.539132942,-5064910.766302712
-4219657.962361268,-4335068.596340076,-4976483.346692578
-4219657.962361268,-4219657.962361272,-4219657.962361268
-4219657.962361268,-4219829.163755199,-4236778.101753916
-4219657.962361268,-4219657.962361272,-4219657.962361268
-4219657.962361268,-4219657.962361272,-4219657.962361268
-4194356.8040247215,-4219404.950777907,-4219657.962361268
-4194356.8040247215,-4220109.508188377,-4244961.548476257
-4181390.630994212,-4220365.21420393,-4244961.548476257
-4171162.2783216676,-4218513.99225327,-4244961.548476257
-4171162.2783216676,-4204771.847594178,-4244961.548476257
-4171162.2783216676,-4180900.1417908347,-4225326.910660939
-4171162.2783216676,-4171366.84537512,-4181390.630994212
-4171162.2783216676,-4171162.278321669,-4171162.2783216676
-4169480.14308786,-4171145.456969331,-4171162.2783216676
-4169480.14308786,-4171027.7075029635,-4171162.2783216676
-4169480.14308786,-4170614.931486632,-4178417.9188675676
-4169480.14308786,-4169640.469547716,-4171162.2783216676
-4169480.14308786,-4169480.1430878635,-4169480.14308786
-4169480.14308786,-4169717.8304428733,-4193248.878588871
-4169480.14308786,-4170243.8827048214,-4244393.859908113
-4169480.14308786,-4169480.1430878635,-4169480.14308786
-4169480.14308786,-4169613.1614866387,-4178642.440064748
-4169480.14308786,-4169480.1430878635,-4169480.14308786
-4169480.14308786,-4169924.399357874,-4213905.770088875
-4169480.14308786,-4169625.1160991318,-4183977.4442146895
-4169480.14308786,-4169480.1430878635,-4169480.14308786
-4169480.14308786,-4169703.70244334,-4191836.07863551
-4169480.14308786,-4169480.1430878635,-4169480.14308786
-4156434.1116208285,-4169415.593118561,-4173223.8681412674
-4156434.1116208285,-4168697.3811998423,-4169480.14308786
-4145516.1997561213,-4165661.7041485845,-4169480.14308786
-4145516.1997561213,-4157656.21103966,-4176909.852151598
-4141822.359955027,-4153513.2914392124,-4165272.219574799
-4130904.4480903186,-4146574.9714361425,-4156434.1116208285
-4120705.6404583477,-4141770.120571143,-4156434.1116208285
-4120705.6404583477,-4132429.6669309502,-4145516.1997561213
-4120705.6404583477,-4126846.148322433,-4162092.472176105
-4120615.1967601855,-4121754.6123229982,-4191316.6647363286
-4112433.052093699,-4120620.201263754,-4120705.6404583477
-4112433.052093699,-4120195.718601742,-4120705.6404583477
-4112433.052093699,-4118604.1766146095,-4120705.6404583477
-4112433.052093699,-4114148.6866743923,-4120705.6404583477
-4088467.147571039,-4112511.7272179024,-4150561.130963519
-4088467.147571039,-4112019.9675571104,-4134328.303889132
-4088467.147571039,-4110357.6502595665,-4117826.6621792517
