Najlepsze,Srednie,Najgorsze
44558.74512590318,19214.988587997235,-11697.22997991339
48186.171511017914,25601.35221928978,-14794.798392278244
48186.171511017914,33000.6041906598,6731.0589490614075
48186.171511017914,42774.0526298399,28576.108675246636
48186.171511017914,46269.545718364156,38553.37640406926
48186.171511017914,48112.669798763396,44492.1876314137
48186.171511017914,48186.17151101782,48186.171511017914
50215.070438963834,48099.29135204804,37469.256686093584
50487.176241118505,48519.90514713356,48186.171511017914
52000.7198660177,50013.99829297377,48186.171511017914
52000.7198660177,50768.77968810712,50487.176241118505
53537.25695236753,51835.99075698197,49766.46366640614
53951.548390852244,52192.57819613275,50650.932933320524
53951.548390852244,53426.295255545316,52103.453335602615
53951.548390852244,53913.921054201004,50742.3358810845
53951.548390852244,53951.54839085228,53951.548390852244
53951.548390852244,53951.54839085228,53951.548390852244
53951.548390852244,53951.54839085228,53951.548390852244
53951.548390852244,53916.04911044168,50401.62034979284
53951.548390852244,53927.37857379681,51534.566685304526
53951.548390852244,53928.87345251291,52911.85129031687
53951.548390852244,53951.54839085228,53951.548390852244
53951.548390852244,53951.54839085228,53951.548390852244
53951.548390852244,53938.444713529905,52641.18065861467
53951.548390852244,53901.207416016536,49260.756793530345
53951.548390852244,53951.54839085228,53951.548390852244
54432.00348923049,53948.6532287264,53181.57707988602
54432.00348923049,53926.27482586809,50945.52050711402
54432.00348923049,54298.871248426614,52649.70176991944
54589.923442719504,54409.611437141175,52061.686450254885
54589.923442719504,54432.40708510505,53524.84335575321
54589.923442719504,54506.22586737033,54432.00348923049
54709.21902732131,54591.11639856553,54589.923442719504
55309.97061596271,54651.35565724521,53412.966537907814
55309.97061596271,55098.966856227795,54513.65692294725
55309.97061596271,55280.073616974856,52320.27071718727
55309.97061596271,55309.97061596261,55309.97061596271
57620.18383898024,55308.61817393122,52864.513189807156
57620.18383898024,55494.78767380402,55309.97061596271
57620.18383898024,56857.813475384435,55309.97061596271
57620.18383898024,57557.648226788,51366.62261975397
58258.11860922929,57626.56318668275,57620.18383898024
57757.920037334276,57481.158476379824,54612.41622602056
57757.920037334276,57708.33500592677,57620.18383898024
58279.88420206797,57763.13967898152,57757.920037334276
58296.62910192544,57694.92295522608,56520.247233597445
58647.475365102335,58081.84760446892,56520.247233597445
59362.94615799545,58395.9428419728,58296.62910192544
59362.94615799545,58949.44155239564,58296.62910192544
59362.94615799545,59362.946157995546,59362.94615799545
59362.94615799545,59337.92986104808,57705.2933367283
59362.94615799545,59284.48091122497,51516.421480937715
59362.94615799545,59323.858027467395,55454.133105180794
59362.94615799545,59353.55540572419,58552.625479899594
59673.175114826954,59321.06596565701,56337.96757538618
60359.32563606683,59385.31911104952,59362.94615799545
61327.67433314407,59695.35946002118,59362.94615799545
61327.67433314407,60671.694045946264,53498.05890533833
61327.67433314407,61242.86075081544,56709.19744576441
61327.67433314407,61327.674333144,61327.67433314407
61327.67433314407,61319.26952831042,60487.19384978588
61327.67433314407,61269.264289950996,56709.19744576441
61327.67433314407,61304.54203467963,59014.44448670714
61327.67433314407,61327.674333144,61327.67433314407
61327.67433314407,61320.02655454996,60716.486837443445
61327.67433314407,61327.674333144,61327.67433314407
61327.67433314407,61327.674333144,61327.67433314407
61327.67433314407,61259.49655486101,58262.43146844588
61327.67433314407,61327.674333144,61327.67433314407
61327.67433314407,61292.4365798225,59453.29207644047
61327.67433314407,61282.02882772229,56763.123790973754
61327.67433314407,61232.94671392077,54652.35758482339
61327.67433314407,61273.73788922388,55934.02994113178
61496.36889183003,61278.78672951925,56270.219411982995
61496.36889183003,61346.23073459945,61327.67433314407
61496.36889183003,61289.98202466815,45581.12981885634
62247.56702331462,61503.88087314478,61496.36889183003
62247.56702331462,61548.952761033855,61496.36889183003
62247.56702331462,61965.95692961863,61266.560546842826
62247.56702331462,62247.56702331456,62247.56702331462
62247.56702331462,62247.56702331456,62247.56702331462
62247.56702331462,62217.141680524524,59752.56110796002
62247.56702331462,62247.56702331456,62247.56702331462
62247.56702331462,62242.141893639324,61705.05405579129
62247.56702331462,62217.96263092327,59635.112120551246
62247.56702331462,62238.04380833944,61295.2455258031
62247.56702331462,62247.56702331456,62247.56702331462
62247.56702331462,62187.392927189394,58951.87331988853
62247.56702331462,62240.89088737641,61579.95342949913
62247.56702331462,62232.371796808366,60728.04437269556
62247.56702331462,62187.76644704082,58002.68681681031
62247.56702331462,62247.56702331456,62247.56702331462
62247.56702331462,62247.56702331456,62247.56702331462
62247.56702331462,62247.56702331456,62247.56702331462
63728.900304773146,62262.380356129135,62247.56702331462
63728.900304773146,62401.184463612124,61536.397166922485
63728.900304773146,62707.385007322875,55544.35766832395
63728.900304773146,63704.958799699845,61334.749797445475
63728.900304773146,63728.900304773124,63728.900304773146
63728.900304773146,63725.343912270975,63373.261054558025
